ROW1,ROW2,ROW3,MPN,LOW,HI
0,0,0,NA,NA,9.5
0,0,1,3,0.15,9.6
0,1,0,3,0.15,11
0,1,1,6.1,1.2,18
0,2,0,6.2,1.2,18
0,3,0,9.4,3.6,38
1,0,0,3.6,0.17,18
1,0,1,7.2,1.3,18
1,0,2,11,3.6,38
1,1,0,7.4,1.3,20
1,1,1,11,3.6,38
1,2,0,11,3.6,42
1,2,1,15,4.5,42
1,3,0,16,4.5,42
2,0,0,9.2,1.4,38
2,0,1,14,3.6,42
2,0,2,20,4.5,42
2,1,0,15,3.7,42
2,1,1,20,4.5,42
2,1,2,27,8.7,94
2,2,0,21,4.5,42
2,2,1,28,8.7,94
2,2,2,35,8.7,94
2,3,0,29,8.7,94
2,3,1,36,8.7,94
3,0,0,23,4.6,94
3,0,1,38,8.7,110
3,0,2,64,17,180
3,1,0,43,9,180
3,1,1,75,17,200
3,1,2,120,37,420
3,1,3,160,40,420
3,2,0,93,18,420
3,2,1,150,37,420
3,2,2,210,40,430
3,2,3,290,90,"1,000"
3,3,0,240,42,"1,000"
3,3,1,460,90,"2,000"
3,3,2,1100,180,"4,100"
3,3,3,>1100,420,NA
